id,indice,escala,distribucion,metodo_ajuste,referencia_comienzo,referencia_fin,procesable
11,SPI,1,Gamma,L-Momentos-PP-PWM,1971-01-01,2010-12-31,0
12,SPI,2,Gamma,L-Momentos-PP-PWM,1971-01-01,2010-12-31,0
13,SPI,3,Gamma,L-Momentos-PP-PWM,1971-01-01,2010-12-31,0
14,SPI,6,Gamma,L-Momentos-PP-PWM,1971-01-01,2010-12-31,0
15,SPI,9,Gamma,L-Momentos-PP-PWM,1971-01-01,2010-12-31,0
16,SPI,12,Gamma,L-Momentos-PP-PWM,1971-01-01,2010-12-31,0
17,SPI,18,Gamma,L-Momentos-PP-PWM,1971-01-01,2010-12-31,0
18,SPI,24,Gamma,L-Momentos-PP-PWM,1971-01-01,2010-12-31,0
19,SPI,36,Gamma,L-Momentos-PP-PWM,1971-01-01,2010-12-31,0
20,SPI,48,Gamma,L-Momentos-PP-PWM,1971-01-01,2010-12-31,0
21,SPI,1,Gamma,L-Momentos-UB-PWM,1971-01-01,2010-12-31,0
22,SPI,2,Gamma,L-Momentos-UB-PWM,1971-01-01,2010-12-31,0
23,SPI,3,Gamma,L-Momentos-UB-PWM,1971-01-01,2010-12-31,0
24,SPI,6,Gamma,L-Momentos-UB-PWM,1971-01-01,2010-12-31,0
25,SPI,9,Gamma,L-Momentos-UB-PWM,1971-01-01,2010-12-31,0
26,SPI,12,Gamma,L-Momentos-UB-PWM,1971-01-01,2010-12-31,0
27,SPI,18,Gamma,L-Momentos-UB-PWM,1971-01-01,2010-12-31,0
28,SPI,24,Gamma,L-Momentos-UB-PWM,1971-01-01,2010-12-31,0
29,SPI,36,Gamma,L-Momentos-UB-PWM,1971-01-01,2010-12-31,0
30,SPI,48,Gamma,L-Momentos-UB-PWM,1971-01-01,2010-12-31,0
31,SPI,1,Gamma,ML-ConRemuestreo,1971-01-01,2010-12-31,0
32,SPI,2,Gamma,ML-ConRemuestreo,1971-01-01,2010-12-31,0
33,SPI,3,Gamma,ML-ConRemuestreo,1971-01-01,2010-12-31,0
34,SPI,6,Gamma,ML-ConRemuestreo,1971-01-01,2010-12-31,0
35,SPI,9,Gamma,ML-ConRemuestreo,1971-01-01,2010-12-31,0
36,SPI,12,Gamma,ML-ConRemuestreo,1971-01-01,2010-12-31,0
37,SPI,18,Gamma,ML-ConRemuestreo,1971-01-01,2010-12-31,0
38,SPI,24,Gamma,ML-ConRemuestreo,1971-01-01,2010-12-31,0
39,SPI,36,Gamma,ML-ConRemuestreo,1971-01-01,2010-12-31,0
